name,Clunky,Current rating,Intimidation,Kill?,Last edited time,Maybe character ability instead?,N/A,Tags,Type,backgroundPath,buy_power,buy_power_icons,clique,cliquePath,clique_icon,cost,effect,effect_power,flipped clique,flipped power,gumball_wad,hand_icons,hand_icons (1),hand_icons (1) 1,hand_icons (1) 2,hand_icons (1) 3,hand_icons (1) 5,hand_icons (1) 6,hand_icons (2),hand_icons (3),hand_power,played_icon_path,played_icons (1),played_icons (1) 2,played_icons_1,played_icons_2,played_icons_3,played_icons_4,played_icons_5,played_icons_6,played_power,quantity,tag1Path,tag2Path
Fire drill,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. Roll the dice—all players except them pick up.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Smarty pants,No,,1,No,"May 24, 2026 5:15 PM",No,No,banana.svg:1,Starting card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,,no,,all cliques,+1 lunch money,1,,,,,,,,,,,icons/lunch_money.svg,,,lunch_money.svg:1,,,,,,+1 lunch money,5,icons/banana.svg,icons/blank.svg
Young & wild,No,,,No,"May 24, 2026 5:15 PM",No,No,wild.svg:1,Starting card,backgrounds/All_Cliques.jpg,,,all cliques,icons/all_cliques.svg,all_cliques.svg:1,,no,,all cliques,Swap the places of two neighboring cards on the Monkey Bars.,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,5,icons/wild.svg,icons/blank.svg
Horsin’ around,Yes,,,Yes,"July 5, 2026 2:00 PM",No,Yes,"bug.svg:1, candy.svg:1, flex.svg:1",Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,3,no,,,,1,horse_girls_-2.svg:1,,,,,,,,,Buy horse girl cards for 1 fewer gumball,icons/horse_girls_if_scuffle.svg,,,horse_girls.svg:1,if.svg:1,scuffle.svg:1,,,,"Scuffle a player with a horse girl in hand, loser gets +2 sticks",1,icons/bug.svg,icons/candy.svg
Keep it moving,No,,,No,"May 24, 2026 5:15 PM",No,No,backpack.svg:1,Starting card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,,yes,When using a card with the backpack tag: +1 hall pass,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/backpack.svg,icons/blank.svg
Gum,No,,1,Yes,"May 24, 2026 5:15 PM",No,Yes,,Starting card,backgrounds/All_Cliques.jpg,,,all cliques,icons/all_cliques.svg,all_cliques.svg:1,,no,,,,1,,,,,,,,,,,icons/blank.svg,,,,,,,,,,8,icons/blank.svg,icons/blank.svg
Planking,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. All players except them gain 2 sticks.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Starter deck,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,,Starting card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,,no,,,,,card.svg:1,,,,,,,,,,icons/card_discard.svg,,,card.svg:2,blank.svg:1,discard.svg:1,,,,,4,icons/blank.svg,icons/blank.svg
I’m not sharing,No,,1,No,"July 5, 2026 2:00 PM",No,No,dice.svg:1,Starting card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,,no,,hall monitor: move kids,"Roll the dice, only you pick up. <br>
Swap the places of two neighboring cards on the Monkey Bars.",1,,,,,,,,,,,icons/roll.svg,,,roll.svg:1,,,,,,"Roll the dice, only you pick up",5,icons/dice.svg,icons/blank.svg
Neigh sayer,No,,,No,"July 5, 2026 2:00 PM",No,Yes,flex.svg:1,Market card,backgrounds/,,,Revisit,icons/,,2,no,,,,1,stop.svg:1,,,,,,,,,Discard this card when attacked to block the scuffle,icons/keep_cards.svg,,,keep_cards.svg:1,,,,,,Keep in hand,1,icons/flex.svg,icons/blank.svg
One more piece,No,,,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Starting card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,,yes,When using a card with the candy tag: +1 gumball,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/candy.svg,icons/blank.svg
Deck master 300 (1),No,,,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,4,no,,,,2,,,,,,,,,,,icons/play_card_trash_or.svg,,discard.svg:3,play.svg:1,card.svg:1,trash.svg:1,blank.svg:1,or.svg:1,blank.svg:1,"Draw 3 cards: play one, keep one, and trash one or discard all",1,icons/card.svg,icons/blank.svg
Jawbreaker,No,,1,No,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Starting card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,,no,,all cliques,+1 gumball,1,,,,,,,,,,,icons/gumball.svg,,,gumball.svg:1,,,,,,+1 gumball,5,icons/candy.svg,icons/blank.svg
Just a peek (1),No,,1,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,2,no,,,,1,reorder.svg:1,,,,,,,,,Reorder the top 3 cards of your deck,icons/card.svg,,,card.svg:2,,,,,,+2 cards,1,icons/card.svg,icons/blank.svg
Covered in mud,No,,1,No,"May 24, 2026 5:15 PM",No,No,bug.svg:1,Starting card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,,no,,all cliques,+1 stick,1,,,,,,,,,,,icons/stick.svg,,,stick.svg:1,,,,,,+1 stick,5,icons/bug.svg,icons/blank.svg
Young capitalist,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,"candy.svg:1, sandbox.svg:1, trade.svg:1",Market card,backgrounds/Mathlete.jpg,Add to Sandbox,sandbox.svg:1,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,7,no,,,,2,sandbox.svg:1,,,,,,,,,Add this card to your Sandbox instead of revealing,icons/discard_trade_gumball.svg,,,discard.svg:1,trade.svg:1,gumball.svg:2,,,,Swap (discard) x cards for +2x gumballs on reveal,1,icons/sandbox.svg,icons/trade.svg
Extra slop,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. All players except them gain 2 lunch money.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Candy in December (1),No,,1,No,"May 24, 2026 5:15 PM",No,Yes,,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,3,no,,,,1,keep_cards.svg:1,,,,,,,,,Keep up to 2 of your cards instead of revealing them,icons/keep_cards.svg,,,keep_cards.svg:1,,,,,,Keep any of your cards instead of revealing them,1,icons/blank.svg,icons/blank.svg
Friendship bracelet,No,,,No,"May 24, 2026 5:15 PM",No,No,,Starting card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,,no,,all cliques,"+1 token to this card <br><br> Once between turns: when any player uses Friendship Bracelet, gain 1 resource per token",1,,,gumball.svg:1,if.svg:1,bracelet.svg:1,,,,,,icons/bracelet.svg,,,bracelet.svg:1,,,,,,"+1 token to this card <br><br> Once between turns: when another player uses Friendship Bracelet, gain 1 resource per token",5,icons/blank.svg,icons/blank.svg
Pocket mulch (1),No,,,No,"May 24, 2026 5:15 PM",No,Yes,backpack.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/hallway.svg,,,hallway.svg:2,,,,,,"+2 hall passes or +1 hallway, which you may immediately build on the same space as opponents’ hallways",1,icons/backpack.svg,icons/blank.svg
Tattletale,No,,1,No,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Tattle on a player. They can’t initiate scuffles next turn.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Trenchcoat,Yes,,1,Yes,"May 24, 2026 5:15 PM",No,No,trade.svg:1,Starting card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,,no,,,,1,,,,,,,,,,,icons/any_resource_trade_any_resource.svg,,,any_resource.svg:1,trade.svg:1,any_resource.svg:1,,,,Swap 1 resource for another resource,4,icons/trade.svg,icons/blank.svg
Stick with us,No,,,No,"May 24, 2026 6:30 PM",No,No,bug.svg:1,Starting card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,,yes,When using a card with the bug tag: +1 stick,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/bug.svg,icons/blank.svg
Explore,No,,2,Yes,"May 24, 2026 5:15 PM",Yes,No,,Starting card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,,no,,,,,,,,,,,,,,,icons/hallway_or_any_resource_trade_tile.svg,,trash.svg:1,hallway.svg:1,or.svg:1,blank.svg:1,any_resource.svg:3,trade.svg:1,tile.svg:1,+1 hallway or use any 3 resources to add a tile to the board and trash this card,4,icons/blank.svg,icons/blank.svg
Backpack turtle,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. They can only spend one type of resource next turn.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Test prep,Yes,,,Yes,"May 24, 2026 5:15 PM",No,Yes,"candy.svg:1, sandbox.svg:1",Market card,backgrounds/Mathlete.jpg,Add straight to binder,sandbox.svg:1,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,4,no,,,,1,,,,,,,,,,,icons/sandbox_gumball.svg,,,sandbox.svg:1,gumball.svg:1,,,,,"Move mathletes from your hand to your binder, +1 gumball",1,icons/candy.svg,icons/sandbox.svg
Big bubbles,No,,,Yes,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/,,,Revisit,icons/,,5,no,,,,3,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/candy.svg,icons/blank.svg
Monkey hog,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,card.svg:1,Market card,backgrounds/,,,Revisit,icons/,,3,no,,,,1,trash.svg:1,,,,,,,,,Trash a card,icons/trash_card.svg,,,trash.svg:1,card.svg:1,,,,,Trash a card,1,icons/card.svg,icons/blank.svg
Less than three,No,,,No,"May 24, 2026 5:15 PM",No,Yes,"banana.svg:1, sandbox.svg:1",Market card,backgrounds/Mathlete.jpg,Add to Sandbox,sandbox.svg:1,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,4,no,,,,2,,,,,,,,,,,icons/draw_mathletes.svg,,,draw_mathletes.svg:2,,,,,,Move up to 2 mathletes from your hand or discard pile to your Sandbox,1,icons/sandbox.svg,icons/banana.svg
Balanced meal,No,,1,Yes,"May 24, 2026 5:15 PM",Yes,No,"banana.svg:1, trade.svg:1",Market card,backgrounds/,,,Revisit,icons/,,4,no,,,,1,lunch_money.svg:1,,,,,,,,,+1 lunch money,icons/lunch_money_trade_gumball_lunch_money.svg,,,lunch_money.svg:1,trade.svg:1,gumball.svg:1,lunch_money.svg:1,,,"Swap up to 2 lunch money for gumballs, 1:1; +1 lunch money",1,icons/banana.svg,icons/trade.svg
Extra credit,No,,,No,"May 24, 2026 5:15 PM",No,Yes,sandbox.svg:1,Market card,backgrounds/Mathlete.jpg,Add to Sandbox,sandbox.svg:1,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,2,no,,,,1,,,,,,,,,,,icons/sandbox_gumball.svg,,,sandbox.svg:1,gumball.svg:1,,,,,Add this card to your Sandbox; +1 gumball,1,icons/sandbox.svg,icons/blank.svg
Detention,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,"Prank a player. Next turn, they can spend resources or use card powers, not both.",,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Bait apprentice,No,,,Yes,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,1,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/intimidation.svg,,,intimidation.svg:1,,,,,,Play this card from Monkey Bars when attacked for +1 intimidation,1,icons/blank.svg,icons/blank.svg
Starter deck (1),No,,1,No,"May 24, 2026 5:15 PM",No,Yes,,Starting card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,,no,,,,,card.svg:1,,,,,,,,,+1 card,icons/card_discard.svg,,,card.svg:2,blank.svg:1,discard.svg:1,,,,Draw 2 cards; discard a card,4,icons/blank.svg,icons/blank.svg
Organized,No,,,No,"May 24, 2026 5:15 PM",No,Yes,sandbox.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,5,yes,When activating non-efffect cards in your Sandbox: take their power twice,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/sandbox.svg,icons/blank.svg
Dibs,Yes,,1,Yes,"May 24, 2026 5:15 PM",Yes,No,banana.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,4,no,,,,1,lunch_money.svg:1,,,,,,,,,+1 lunch money,icons/dibs.svg,,,dibs.svg:1,,,,,,Set aside a card from the slide; only you can buy it.,1,icons/banana.svg,icons/blank.svg
Gum kiss,No,,3,Yes,"May 24, 2026 5:15 PM",No,Yes,candy.svg:1,Starting card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,,no,,,,,keep_cards.svg:1,,,,,,,,,Keep in hand,icons/gumball.svg,,,gumball.svg:2,,,,,,+2 gumballs,4,icons/candy.svg,icons/blank.svg
Friendship handcuffs (1),No,,,No,"May 24, 2026 5:15 PM",No,Yes,bug.svg:1,Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,5,no,,,,1,add_card.svg:1,,,,,,,,,Add an available horse girl to the top of another player’s deck,icons/add_card_stick.svg,,,add_card.svg:1,stick.svg:1,,,,,"Add an available horse girl to the top of your deck, +1 stick",1,icons/bug.svg,icons/blank.svg
Back for more,No,,,Yes,"May 24, 2026 5:15 PM",No,No,trade.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,4,yes,When using a card with a swap tag: repeat the card’s swap action,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/trade.svg,icons/blank.svg
Bait master,No,,,Yes,"May 24, 2026 5:15 PM",No,No,,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,3,no,,,,2,intimidation.svg:3,,,,,,,,,,icons/intimidation.svg,,,intimidation.svg:3,,,,,,Play this card from Monkey Bars when attacked for +3 intimidation,1,icons/blank.svg,icons/blank.svg
Booster pack,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,1,card.svg:1,,,,,,,,,+1 card,icons/card_discard.svg,,,card.svg:3,discard.svg:1,,,,,Draw 3 cards; discard a card,1,icons/card.svg,icons/blank.svg
Last pick,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. They may only play 1 card next turn.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Planking,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,,Round card,backgrounds/,,,prank,icons/,,,no,Pick a player. They must reposition one of their hallways.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Peach fuzz,No,,,Yes,"May 24, 2026 5:15 PM",No,No,"backpack.svg:1, banana.svg:1, bug.svg:1, candy.svg:1",Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,3,yes,When using a card with a resource tag: +1 that resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/bug.svg,icons/candy.svg
Contraband,No,,1,Yes,"May 24, 2026 5:15 PM",Yes,No,"backpack.svg:1, trade.svg:1",Market card,backgrounds/,,,Revisit,icons/,,4,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/hallway_trade_gumball_hallway.svg,,,hallway.svg:1,trade.svg:1,gumball.svg:1,hallway.svg:1,,,"Swap up to 2 hall passes for gumballs, 1:1; +1 hall pass",1,icons/backpack.svg,icons/trade.svg
Gobble gobble,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,2,,,,,,,,,,,icons/card_trash_or_discard.svg,,,card.svg:2,trash.svg:1,blank.svg:1,or.svg:1,blank.svg:1,discard.svg:3,Draw 3 cards: keep 2 & trash 1 or discard all,1,icons/card.svg,icons/blank.svg
Smacking (1),No,,1,No,"May 24, 2026 5:15 PM",No,Yes,candy.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,1,no,,,,1,,,,,,,,,,,icons/trash_card_gumball.svg,,,blank.svg:1,blank.svg:1,trash.svg:1,card.svg:1,gumball.svg:2,,Trash this card; +1 card; +2 gumballs,1,icons/candy.svg,icons/blank.svg
Gum gum bazooka,No,,,Yes,"May 24, 2026 5:15 PM",No,No,candy.svg:1,Market card,backgrounds/,Add to Sandbox,,Revisit,icons/,,5,no,When using a card with the gumball tag: +2 gumballs,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/candy.svg,icons/blank.svg
Footrace (1),No,,2,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,6,no,,,,2,card.svg:1,,,,,,,,,+2 cards,icons/action_card.svg,,,action.svg:1,blank.svg:1,blank.svg:1,card.svg:3,,,+1 action; +3 cards,1,icons/card.svg,icons/blank.svg
Fort up,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,,Starting card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,,no,,,,1,,,,,,,,,,,icons/any_resource.svg,,,any_resource.svg:1,,,,,,+1 any resource,4,icons/blank.svg,icons/blank.svg
Bait master (1),No,,,No,"July 5, 2026 2:00 PM",No,Yes,flex.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,3,no,,,,2,intimidation.svg:3,,,,,,,,,Show this card when attacked for +3 intimidation,icons/keep_cards.svg,,,keep_cards.svg:1,,,,,,Keep in hand,1,icons/flex.svg,icons/blank.svg
Screaming deal,No,,,Yes,"May 24, 2026 5:15 PM",No,No,trade.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,3,yes,When using a card with a swap tag: discount the swap by 1,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/trade.svg,icons/blank.svg
Dog-ear,No,,,No,"May 24, 2026 5:15 PM",No,Yes,sandbox.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,4,yes,"Each turn, use the gumballs from one of the cards in your Sandbox without revealing it",,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/sandbox.svg,icons/blank.svg
Early investing,No,,,Yes,"May 24, 2026 5:15 PM",No,No,"backpack.svg:1, banana.svg:1, bug.svg:1, candy.svg:1",Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,4,yes,When using a card with a resource tag: +1 resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/bug.svg,icons/candy.svg
I’ll be having that,Yes,,2,Yes,"May 24, 2026 5:15 PM",Yes,No,backpack.svg:1,Market card,backgrounds/Mathlete.jpg,,,mathlete: recruit kids,icons/lunch_money.svg,lunch_money.svg:1,3,no,,,,1,hallway.svg:1,,,,,,,,,+1 hall pass,icons/base_hallway.svg,,,base.svg:1,hallway.svg:1,,,,,"You may build 1 hallway from your nearest structure this turn, +1 hall pass",1,icons/backpack.svg,icons/blank.svg
Party pooper,No,,1,Yes,"May 24, 2026 5:15 PM",No,No,,Round card,backgrounds/,,,prank,icons/,,,no,Prank a player. They must discard 2 resources.,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/blank.svg,icons/blank.svg
Gum swap,No,,,No,"May 24, 2026 5:15 PM",No,Yes,"candy.svg:1, trade.svg:1",Always available,backgrounds/All_Cliques.jpg,,card.svg:1,all cliques,icons/all_cliques.svg,all_cliques.svg:1,2,no,,,,,any_resource.svg:1,,,,,gumball.svg:2,trade.svg:1,,,"Swap any resource for +2 gumballs, once",icons/blank.svg,,,,,,,,,,6,icons/candy.svg,icons/trade.svg
Just borrowing,No,,1,No,"May 24, 2026 5:15 PM",No,Yes,,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,2,no,,,,2,,,,,,,,,,,icons/borrow.svg,,,borrow.svg:2,,,,,,Draw a card from two opponents’ hands to use during reveal. Return the cards.,1,icons/blank.svg,icons/blank.svg
Mommy won’t mind (1),No,,1,No,"May 24, 2026 5:15 PM",No,Yes,card.svg:1,Market card,backgrounds/Hall_Monitor.jpg,,,hall monitor: move kids,icons/hall_pass.svg,hall_pass.svg:1,3,no,,,,1,trash.svg:1,,,,,,,,,Trash a card,icons/trash_card.svg,,,trash.svg:1,card.svg:1,,,,,Trash any card from your deck; +1 card,1,icons/card.svg,icons/blank.svg
Insecure bully (1),No,,,No,"July 5, 2026 2:00 PM",No,Yes,"bug.svg:1, flex.svg:1",Market card,backgrounds/PE_Enthusiast.jpg,,,PE enthusiast: scuffle 1x/+1 rock,icons/scuffle.svg,scuffle.svg:1,4,no,,,,1,stick.svg:1,,,,,,,,,+1 stick,icons/scuffle_if_action_card.svg,,,scuffle.svg:1,if.svg:1,action.svg:1,card.svg:1,,,If you win a scuffle this turn: +1 action +1 card,1,icons/flex.svg,icons/bug.svg
Why so sticky?,No,,,No,"May 24, 2026 5:15 PM",No,Yes,"candy.svg:1, card.svg:1, trade.svg:1",Market card,backgrounds/Dirt_Specialist.jpg,,,dirt specialist: build bases,icons/stick.svg,stick.svg:1,4,no,,,,1,card.svg:1,,,,,,,,,+1 card,icons/card_trade_gumball_card.svg,,,card.svg:1,trade.svg:1,gumball.svg:1,card.svg:1,,,"Swap (discard) up to 2 cards for gumballs, 1:1, +1 card",1,icons/card.svg,icons/trade.svg
Go fish,No,,,Yes,"May 24, 2026 5:15 PM",No,No,card.svg:1,Market card,backgrounds/Sandbox.jpg,Add to Sandbox,,effect,icons/sandbox.svg,,4,yes,When using a card with the cards tag: +1 any resource,,,,,,,,,,,,,,icons/blank.svg,,,,,,,,,,1,icons/card.svg,icons/blank.svg
